"CPUName","CPUPrice","CPUScore"
"Intel Xeon E3-1240 V2 @ 3.40GHz",150,6358
"Intel Xeon E5-2420 v2 @ 2.20GHz",78.31,6356
"Intel Xeon E-2276ML @ 2.00GHz",NA,6353
"AMD Opteron 6276",396.99,6348
"Intel Core i7-4930MX @ 3.00GHz",1096,6348
"AMD Ryzen 7 3700C",NA,6346
"Intel Core i7-4790T @ 2.70GHz",249.88,6346
"Intel Core i7-4960HQ @ 2.60GHz",623,6344
"Intel Xeon E3-1268L v5 @ 2.40GHz",456.54,6334
"Intel Xeon E-2254ML @ 1.70GHz",NA,6333
"Intel Core i5-6600K @ 3.50GHz",69,6327
"QTI SM6450P",NA,6315
"Intel Xeon E3-1290 V2 @ 3.70GHz",885,6315
"Mediatek MT6893",NA,6313
"Intel Core i7-4870HQ @ 2.50GHz",NA,6312
"Intel Xeon E3-1245 V2 @ 3.40GHz",315,6308
"Intel Core i3-8300 @ 3.70GHz",118.6,6305
"Intel Core i7-4760HQ @ 2.10GHz",NA,6300
"Intel Xeon E5-4617 @ 2.90GHz",35.88,6298
"Intel Xeon E5-2640 @ 2.50GHz",49.94,6294
"Intel Xeon E3-1275L v3 @ 2.70GHz",NA,6290
"Qualcomm Technologies, Inc KONA-IOT",NA,6282
"AMD Ryzen 3 1200",84.44,6279
"Intel Core i7-8650U @ 1.90GHz",1049,6268
"Intel Xeon E5-1428L v2 @ 2.20GHz",20.37,6255
"Intel Core i7-8665U @ 1.90GHz",704.49,6247
"Intel Xeon E5-2620 v2 @ 2.10GHz",12.99,6246
"Intel Core i7-4860HQ @ 2.40GHz",NA,6242
"Intel Core i3-10100TE @ 2.30GHz",138,6237
"Intel Core i7-4910MQ @ 2.90GHz",459.95,6235
"AMD FX-9370 Eight-Core",193.93,6230
"Intel Core i5-8350U @ 1.70GHz",297,6223
"Intel Xeon E3-1265L v3 @ 2.50GHz",398.95,6211
"Intel Xeon D-1622 @ 2.60GHz",170,6205
"Intel Xeon E3-1230 V2 @ 3.30GHz",189.95,6198
"Intel Xeon E5-2650L @ 1.80GHz",29,6192
"Intel Core i5-10210U @ 1.60GHz",702.62,6191
"Intel Xeon E5-2430L v2 @ 2.40GHz",NA,6190
"Intel Core i7-8565UC @ 1.80GHz",NA,6187
"Intel Xeon E5-2630 @ 2.30GHz",33.93,6183
"Intel Core i7-3770S @ 3.10GHz",95,6182
"Intel Core i3-1025G1 @ 1.20GHz",NA,6180
"AMD FX-8370 Eight-Core",169.75,6173
"Intel Core i3-1215UL",285,6161
"AMD Ryzen 3 PRO 1200",NA,6154
"Intel Core i7-4850HQ @ 2.30GHz",434,6153
"MT6893Z_C/CZA",NA,6139
"Intel Core i7-6700TE @ 2.40GHz",NA,6135
"SM8350",NA,6134
"vendor Kirin990",NA,6132
"Samsung Exynos 990",NA,6124
"Qualcomm Technologies, Inc SM8350",NA,6117
"Intel Core i5-8365U @ 1.60GHz",539.07,6114
"Intel Core i7-4900MQ @ 2.80GHz",200,6109
"Intel Core i3-9300T @ 3.20GHz",143,6108
"Intel Xeon X5670 @ 2.93GHz",100,6104
"Intel Core i3-8100 @ 3.60GHz",49.58,6100
"Intel Xeon E5-2440 @ 2.40GHz",1950,6091
"Intel Core i7-5675C @ 3.10GHz",NA,6089
"Intel Xeon E3-1505L v6 @ 2.20GHz",NA,6088
"Qualcomm SM7325",NA,6076
"SM7325",NA,6074
"Intel Xeon E5-2658 @ 2.10GHz",22.95,6073
"AMD Opteron 6344",47,6069
"Qualcomm QCM6490",NA,6068
"Intel Core i7-4810MQ @ 2.80GHz",179.95,6068
"AMD FX-8350 Eight-Core",89.99,6065
"Intel Core i7-8565U @ 1.80GHz",615,6059
"Intel Core i7-4770HQ @ 2.20GHz",NA,6058
"Intel Core i5-6600 @ 3.30GHz",49.99,6055
"Intel Core i3-1115G4 @ 3.00GHz",281,6053
"MT6893Z_A/CZA",NA,6050
"AMD EPYC 3101 4-Core",NA,6050
"Intel Core i7-5700HQ @ 2.70GHz",NA,6048
"Intel Core i5-7500 @ 3.40GHz",57.99,6034
"AMD Ryzen Embedded R2314",NA,6031
"Snapdragon 7cPlus Gen 3 @ 2.40 GHz",NA,6028
"MT6891Z/CZA",NA,6025
"Samsung s5e8835",NA,6018
"AMD Ryzen 3 2200GE",NA,6018
"Intel Xeon X5660 @ 2.80GHz",149.95,6015
"Intel Core i3-8100B @ 3.60GHz",133,6014
"ARM Cortex-X1C 4 Core 2438 MHz",NA,6007
"AMD Ryzen Embedded V1404I",NA,6007
"Intel Xeon E3-1225 v5 @ 3.30GHz",175,5987
"Intel Core i7-4770T @ 2.50GHz",74.99,5973
"AMD Ryzen 3 PRO 3300U",NA,5950
"Intel Core i5-8265U @ 1.60GHz",499.88,5945
"Intel Core i5-7600T @ 2.80GHz",147.91,5927
"Intel Xeon E-2104G @ 3.20GHz",510,5913
"QTI SM7325",NA,5911
"Intel Core i7-8550U @ 1.80GHz",NA,5905
"Intel Core i7-3840QM @ 2.80GHz",548.87,5904
"AMD Opteron 6378",199.99,5889
"Intel Xeon E5-2450L @ 1.80GHz",78,5880
"Intel Core i5-8250U @ 1.60GHz",NA,5867
"Intel Xeon E5-1620 @ 3.60GHz",70,5862
"Qualcomm Technologies, Inc SM8250",NA,5857
"Intel Core i7-4710MQ @ 2.50GHz",271.57,5838
"Intel Core i7-3940XM @ 3.00GHz",344.04,5825
"AMD Ryzen 3 3350U",NA,5821
"MT6891",NA,5817
"Intel Xeon E3-1220 v5 @ 3.00GHz",152,5815
"Intel Core i7-5700EQ @ 2.60GHz",NA,5803
"Intel Xeon E3-1220 v6 @ 3.00GHz",206.36,5786
"AMD Opteron 4274 HE",76.96,5776
"Intel Xeon E3-1268L v3 @ 2.30GHz",NA,5770
"Intel Core i7-3820 @ 3.60GHz",34.99,5767
"Intel Xeon E3-1225 v6 @ 3.30GHz",100,5765
"Microsoft SQ1 @ 3.0 GHz",NA,5763
"Intel Xeon Bronze 3106 @ 1.70GHz",566.45,5753
"Intel Core i7-4720HQ @ 2.60GHz",NA,5752
"Intel N97",128,5752
"Intel Core i3-8300T @ 3.20GHz",158.95,5749
"AMD Ryzen 3 PRO 2300U",NA,5742
"Intel Core i7-2700K @ 3.50GHz",88.99,5742
"Spreadtrum UIS7885(prototype)",NA,5741
"Intel Pentium Gold G7400T",64,5737
"MT8195AV/ZA",NA,5735
"Intel Core i5-1030NG7 @ 1.10GHz",NA,5733
"QTI SM6450",NA,5729
"Intel Core i7-4800MQ @ 2.70GHz",239.99,5726
"Intel Xeon E5-1410 v2 @ 2.80GHz",19.2,5715
"Intel Core i5-8365UE @ 1.60GHz",297,5711
"Intel Core i5-7440EQ @ 2.90GHz",250,5711
"Intel Core i7-3920XM @ 2.90GHz",1096,5710
"Intel Xeon X5650 @ 2.67GHz",9.98,5710
"QTI SM7435",NA,5704
"Apple A13 Bionic",NA,5701
"Intel Core i7-3740QM @ 2.70GHz",218.02,5701
"MT6893Z_D/CZA",NA,5701
"Intel Xeon D-1521 @ 2.40GHz",NA,5696
"Intel Core i5-4690K @ 3.50GHz",48,5691
"Intel Core i7-4750HQ @ 2.00GHz",NA,5687
"Intel Xeon E5649 @ 2.53GHz",12.9,5686
"AMD Ryzen 5 3500C",NA,5682
"Intel Xeon E3-1205 v6 @ 3.00GHz",193,5682
"AMD Ryzen 3 3300U",NA,5679
"Qualcomm SM8150",NA,5671
"Intel Core i7-3720QM @ 2.60GHz",99.95,5671
"Intel Xeon Platinum 8151 @ 3.40GHz",NA,5669
"MT6883Z/CZA",NA,5665
"Qualcomm Technologies, Inc KONA",NA,5662
"Intel Xeon E3-1240L v3 @ 2.00GHz",895.5,5655
"QTI SM7350",NA,5644
"AMD Opteron 6274",329.95,5643
"Intel Core i7-3820QM @ 2.70GHz",549,5634
"SM8325",NA,5629
"AMD Opteron 6238",439.96,5625
"Intel Core i5-6500 @ 3.20GHz",29.99,5625
"Intel Core i7-4700HQ @ 2.40GHz",383,5624
"Intel Xeon E3-1280 @ 3.50GHz",358,5623
"Intel Core i7-4722HQ @ 2.40GHz",NA,5620
"AMD Opteron 6366 HE",770.73,5613
"Intel Core i5-5675C @ 3.10GHz",90,5606
"Intel Core i7-3615QE @ 2.30GHz",NA,5601
"Intel Core i5-6600T @ 2.70GHz",49.99,5598
"Intel Core i5-4690 @ 3.50GHz",56,5572
"AMD Opteron 6376",1913,5572
"Intel Core i5-5675R @ 3.10GHz",NA,5571
"Intel Core i5-4670K @ 3.40GHz",39,5567
"Snapdragon 7325",NA,5561
"Qualcomm Technologies, Inc SDM778G",NA,5553
"AMD Ryzen 3 2300U",NA,5548
"Snapdragon 855 @ 2.84 GHz",NA,5547
"ARM Neoverse-N2 8 Core 2500 MHz",NA,5544
"Intel Xeon E3-1226 v3 @ 3.30GHz",639,5543
"Intel Xeon E5-2430L @ 2.00GHz",211.31,5539
"Intel Core i7-4710HQ @ 2.50GHz",378,5536
"ARM Phytium D3000 8 Core 2500 MHz",NA,5528
"Intel Core i5-4690S @ 3.20GHz",59.99,5522
"Intel Core i7-4785T @ 2.20GHz",NA,5519
"Intel Xeon E3-1275 @ 3.40GHz",160,5516
"Intel N100",128,5506
"Intel Atom x7425E",NA,5502
"Intel Core i7-4860EQ @ 1.80GHz",NA,5500
"QTI SM7450",NA,5498
"Intel Core i5-7440HQ @ 2.80GHz",NA,5496
"Intel Core i5-4670 @ 3.40GHz",49.59,5496
"Intel Xeon W-2104 @ 3.20GHz",255,5495
"Intel Xeon E5-2430 @ 2.20GHz",39,5492
"Intel Core i7-2600K @ 3.40GHz",49.99,5489
"Samsung Exynos 2100",NA,5486
"Intel Core i3-1115G4E @ 3.00GHz",285,5483
"vendor Kirin985",NA,5481
"Intel Core i3-9100T @ 3.10GHz",122,5472
"Intel Core i5-7400 @ 3.00GHz",84.99,5472
"ARM Cortex-A72 16 Core 2200 MHz",NA,5470
"lisa based Qualcomm Technologies, Inc. SM7325",NA,5456
"Intel Core i5-6440EQ @ 2.70GHz",NA,5445
"Intel Core i7-3770T @ 2.50GHz",156.59,5444
"AMD FX-8320 Eight-Core",39.98,5444
"Intel Xeon E5-2609 v4 @ 1.70GHz",305.95,5443
"Intel Core i5-760S @ 2.53GHz",NA,5440
"Intel Xeon E3-1290 @ 3.60GHz",885,5429
"AMD Ryzen Embedded V1500B Quad-core @ 2.20GHz",NA,5417
"Intel Core i7-4700EQ @ 2.40GHz",NA,5417
"Mediatek MT6891",NA,5412
"Intel Xeon E3-1240 @ 3.30GHz",132,5403
"Venus based on Qualcomm Technologies, Inc SM8350",NA,5398
"Intel Xeon E5-2418L v2 @ 2.00GHz",607,5380
"Spreadtrum T820",NA,5377
"Intel Core i5-4590 @ 3.30GHz",18.74,5369
"Intel Pentium Silver N6005 @ 2.00GHz",NA,5367
"Intel Core i5-6402P @ 2.80GHz",74.02,5367
"Intel N95",NA,5359
"Haydn based on Qualcomm Technologies, Inc SM8350",NA,5359
"Intel Core i7-4712HQ @ 2.30GHz",39.99,5352
"Intel Xeon E3-1270 @ 3.40GHz",178,5352
"QTI SM8150",NA,5348
"Intel Core i7-4700MQ @ 2.40GHz",188.02,5348
"Intel Core i7-2600 @ 3.40GHz",89.99,5346
"Intel Xeon E5-2643 @ 3.30GHz",1837,5344
"Intel Core i7-4702HQ @ 2.20GHz",NA,5339
"AMD FX-8300 Eight-Core",41.82,5335
"Intel Xeon E3-1245 @ 3.30GHz",245,5334
"Intel Core i7-4712MQ @ 2.30GHz",NA,5325
"Intel Xeon X5687 @ 3.60GHz",189.95,5309
"QTI QCM4490",NA,5308
"AMD Opteron 6328",499.99,5306
"AMD FX-8370E Eight-Core",25.14,5306
"Intel Xeon E5-2630L @ 2.00GHz",51.82,5305
"Intel Xeon E3-1225 v3 @ 3.20GHz",248.65,5301
"Vili based on Qualcomm Technologies, Inc SM8350",NA,5296
"Snapdragon 860 @ 2.96 GHz",NA,5291
"Intel Xeon E5-2620 @ 2.00GHz",12.99,5291
"Intel Core i3-8100T @ 3.10GHz",85,5270
"Intel Xeon E5-2648L @ 1.80GHz",NA,5262
"AMD FX-8150 Eight-Core",82.02,5256
"vendor Kirin980",NA,5254
"MT6877V/TTZA",NA,5253
"Intel Xeon E3-1230L v3 @ 1.80GHz",250,5251
"Mediatek MT6875",NA,5249
"Star based on Qualcomm Technologies, Inc SM8350",NA,5241
"Intel Core i7-6822EQ @ 2.00GHz",NA,5241
"Mediatek MT6879V_T/ZA",NA,5241
"AMD Opteron 6272",129.95,5240
"Intel Core i5-4670R @ 3.00GHz",276,5233
"Snapdragon 8c @ 2.46 GHz",NA,5230
"Mars based on Qualcomm Technologies, Inc SM8350",NA,5230
"Intel Core i5-4570 @ 3.20GHz",49,5227
"Intel Xeon D-1527 @ 2.20GHz",213,5213
"Intel Core i5-7500T @ 2.70GHz",69,5207
"Intel Xeon E5-1607 v4 @ 3.10GHz",178.02,5200
"Intel Core i7-3615QM @ 2.30GHz",NA,5196
"Intel Pentium Gold 7505 @ 2.00GHz",NA,5193
"Intel Core i7-4702MQ @ 2.20GHz",352.05,5192
"Intel Xeon E3-1220 v3 @ 3.10GHz",89.95,5184
"Intel Core i7-8665UE @ 1.70GHz",409,5170
"Intel Core i5-8265UC @ 1.60GHz",NA,5169
"Intel Core i5-6400 @ 2.70GHz",69.99,5163
"Intel Core i5-4670S @ 3.10GHz",213,5160
"AMD FX-8310 Eight-Core",164.04,5149
"Intel Xeon E3-1265L V2 @ 2.50GHz",463.39,5148
"Intel Core i5-4590S @ 3.00GHz",13.99,5142
"Intel Xeon E3-1230 @ 3.20GHz",277,5137
"Intel Core i7-4765T @ 2.00GHz",498.95,5127
"Intel N200",193,5121
"Intel Core i7-3630QM @ 2.40GHz",229,5120
"MT8188JV/A",NA,5120
"Intel Core i7-3610QM @ 2.30GHz",299.95,5117
"Intel Atom C3758R @ 2.40GHz",224,5116
"Intel Core i5-6440HQ @ 2.60GHz",NA,5103
"MT6893",NA,5102
"AMD FX-8320E Eight-Core",89.99,5089
"Intel Core i5-7300HQ @ 2.50GHz",NA,5087
"Intel Xeon E3-1505L v5 @ 2.00GHz",NA,5083
"Hisilicon Kirin9000",NA,5083
"Intel Core i5-5575R @ 2.80GHz",NA,5078
"Intel Xeon W-2102 @ 2.90GHz",286.99,5073
"vendor Kirin820",NA,5067
"Intel Xeon E3-1235 @ 3.20GHz",219,5053
"Intel Xeon E5645 @ 2.40GHz",137,5048
"Intel Xeon X5677 @ 3.47GHz",110,5043
"Intel Core i5-4670K CPT @ 3.40GHz",NA,5034
"Intel Xeon E5-2420 @ 1.90GHz",355.55,5033
"Snapdragon 8cx @ 2.84 GHz",NA,5032
"Intel Core i7-3610QE @ 2.30GHz",NA,5026
"Intel Core i5-4570S @ 2.90GHz",199.95,5016
"Intel Xeon E3-1235L v5 @ 2.00GHz",NA,5013
"Mediatek MT6877",NA,5009
"Intel Xeon X5672 @ 3.20GHz",44.99,4996
"Mediatek MT6877V/TTZA",NA,4990
"Apple A12 Bionic",NA,4983
"Intel Core i3-7350K @ 4.20GHz",42,4967
"Intel Core i5-3570K @ 3.40GHz",99,4955
"Intel Xeon E5-1607 v3 @ 3.10GHz",NA,4950
"Intel Core i5-3570 @ 3.40GHz",69,4931
"Intel Core i7-3612QE @ 2.10GHz",NA,4929
"Intel Xeon E5-1410 @ 2.80GHz",44.99,4922
"Intel Xeon D-1520 @ 2.20GHz",NA,4917
"Intel Core i3-1005G1 @ 1.20GHz",281,4912
"Intel Core i7-10510Y @ 1.20GHz",403,4905
"Mediatek MT8791V/TN",NA,4902
"SM8450",NA,4896
"Intel Core i5-4460 @ 3.20GHz",64.04,4889
"Intel Core i7-4770TE @ 2.30GHz",NA,4877
"Renoir based on Qualcomm Technologies, Inc SM7350",NA,4869
"AMD FX-8140 Eight-Core",148.86,4860
"Samsung Technologies, Inc Exynos E1080",NA,4846
"Intel Core i3-7320 @ 4.10GHz",106.98,4844
"Mediatek MT6877V/TZA",NA,4841
"Intel Core i5-7442EQ @ 2.10GHz",250,4834
"Intel Xeon Bronze 3204 @ 1.90GHz",154.44,4832
"MT6877V/TZA",NA,4824
"Intel Core i7-3635QM @ 2.40GHz",NA,4816
"Intel Core i5-3550 @ 3.30GHz",335,4808
"MT6877V/ZA",NA,4794
"Intel Core i5-6500T @ 2.50GHz",221.52,4792
"Intel Core i3-9100TE @ 2.20GHz",122,4791
"Intel Core i5-4440 @ 3.10GHz",88.8,4787
"Mediatek MT6877V/ZA",NA,4786
"Intel Core i5-6500TE @ 2.30GHz",489.95,4772
"Mediatek Dimensity 7200-Pro (MT6886)",NA,4766
"Intel Core i7-2960XM @ 2.70GHz",278.52,4754
"AMD Opteron 6220",339.99,4753
"Intel Xeon E3-1225 V2 @ 3.20GHz",209.86,4752
"Intel Core i5-4470S @ 3.00GHz",NA,4742
"AMD Athlon Gold 7220U",NA,4740
"Spreadtrum T760",NA,4735
"MT8771V/PZA",NA,4723
"Intel Xeon E5-1603 v4 @ 2.80GHz",NA,4721
"Intel Core i7-3632QM @ 2.20GHz",68.02,4708
"Intel Atom C3858 @ 2.00GHz",332,4707
"Intel Core i5-7400T @ 2.40GHz",75,4701
"Intel Xeon E5-2603 v4 @ 1.70GHz",148.87,4695
"Intel Core i5-6300HQ @ 2.30GHz",NA,4693
"Intel Core i5-3470 @ 3.20GHz",59,4676
"Intel Xeon E3-1220 V2 @ 3.10GHz",89.95,4676
"AMD Opteron 4284",119.95,4665
"Intel Xeon X5667 @ 3.07GHz",18.04,4659
"Intel Core i7-3612QM @ 2.10GHz",NA,4659
"Intel Core i5-4430 @ 3.00GHz",69.9,4658
"Intel Xeon L5640 @ 2.27GHz",89.95,4645
"AMD FX-8120 Eight-Core",78.02,4641
"AMD Athlon Silver PRO 3125GE",NA,4633
"AMD Ryzen Embedded V1500B",NA,4633
"Intel Core i7-6970HQ @ 2.80GHz",NA,4632
"Intel Core i5-3570S @ 3.10GHz",59.99,4630
"Intel Core i7-2600S @ 2.80GHz",119,4628
"Intel Atom C3758 @ 2.20GHz",193,4614
"Snapdragon 8350",NA,4608
"Intel Core i5-4690T @ 2.50GHz",NA,4608
"Qualcomm Technologies, Inc SM8150",NA,4595
"Samsung Exynos 980",NA,4584
"Intel Core i5-4460S @ 2.90GHz",159.95,4583
"Qualcomm SC7180P",NA,4558
"Mediatek Dimensity 7025 (MT6855)",NA,4554
"Intel Celeron G6900",45.99,4551
"AMD FX-6350 Six-Core",55.68,4551
"Intel Core i5-4570R @ 2.70GHz",NA,4550
"MT6877T",NA,4548
"AMD Athlon Silver 3050GE",NA,4545
"Intel Xeon D-1518 @ 2.20GHz",NA,4532
"Mediatek MT6833G",NA,4532
"Intel Core i3-7300 @ 4.00GHz",92.59,4529
"AMD Athlon 240GE",98.27,4527
"Intel Core i7-2860QM @ 2.50GHz",100,4517
"Mediatek MT8390AV/A",NA,4509
"Samsung s5e8535",NA,4506
"MT6889Z/CZA",NA,4504
"AMD Opteron 4280",257.64,4504
"Intel Core i5-3450 @ 3.10GHz",95,4502
"Qualcomm Technologies, Inc SM8150P",NA,4495
"Intel Core i5-6442EQ @ 1.90GHz",250,4487
"Intel Pentium Gold G6605 @ 4.30GHz",182.55,4486
"Intel Core i3-1115GRE @ 3.00GHz",338,4484
"AMD Athlon 3000G",89.99,4482
"Intel Core i5-10210Y @ 1.00GHz",NA,4475
"Samsung s5e8825",NA,4474
"Intel Core i3-6320 @ 3.90GHz",96.6,4473
"Mediatek DM700",NA,4471
"Mediatek MT6833GP",NA,4471
"SM6375",NA,4441
"Intel Core i5-4670T @ 2.30GHz",259.02,4441
"Intel Xeon X5647 @ 2.93GHz",19.93,4441
"Intel Xeon Bronze 3104 @ 1.70GHz",120,4437
"AMD FX-6330 Six-Core",NA,4433
"Intel Core i3-7101E @ 3.90GHz",117,4430
"Intel Xeon E5-2609 v3 @ 1.90GHz",189.95,4430
"Intel Xeon E5-1603 v3 @ 2.80GHz",12.88,4427
"Mediatek MT6879V/ZA",NA,4424
"AMD Athlon 220GE",122.1,4424
"Intel Pentium 6805 @ 1.10GHz",161,4424
"Intel Core i5-3550S @ 3.00GHz",149.95,4422
"Apple A11 Bionic",NA,4421
"Intel Xeon L5639 @ 2.13GHz",NA,4419
"Qualcomm SDM845",NA,4415
"Mediatek MT8771V/PZA",NA,4414
"AMD Athlon 320GE",NA,4399
"Intel Core i7-2760QM @ 2.40GHz",122.02,4399
"Rockchip RK3588",NA,4398
"MT6875",NA,4393
"Intel Core i3-8121U @ 2.20GHz",290,4391
"Intel Core i5-3470S @ 2.90GHz",72.03,4390
"Intel Core i7-2820QM @ 2.30GHz",369.95,4381
"Mediatek MT8781V/NA",NA,4380
"AMD Opteron 4386",459.94,4378
"Intel Core i5-4440S @ 2.80GHz",123.85,4377
"Hisilicon Kirin980",NA,4376
"Intel Core i5-3450S @ 2.80GHz",89,4375
"Intel Pentium Gold G6505 @ 4.20GHz",75,4371
"AMD FX-6130 Six-Core",NA,4353
"Qualcomm Technologies, Inc SDM750G",NA,4350
"Intel Celeron J6413 @ 1.80GHz",NA,4349
"Intel Core i3-6300 @ 3.80GHz",68.03,4345
"Intel Core i5-4430S @ 2.70GHz",189.53,4344
"Intel Core i3-7100 @ 3.90GHz",49.99,4324
"Intel Core i3-8100H @ 3.00GHz",225,4310
"AMD Athlon PRO 300GE",NA,4308
"QTI SM7250",NA,4304
"Intel Core i5-3350P @ 3.10GHz",60,4295
"Mediatek MT8789V/T",NA,4293
"QTI SM7225",NA,4292
"Intel Core i7-2920XM @ 2.50GHz",120,4286
"Intel Core i5-6400T @ 2.20GHz",159.99,4279
"Intel Core i5-3475S @ 2.90GHz",249.95,4277
"AMD Athlon 300GE",NA,4273
"Intel Pentium Gold G6600 @ 4.20GHz",239.9,4273
"Intel Pentium Gold G5620 @ 4.00GHz",120,4272
"Qualcomm Technologies, Inc SM6375",NA,4266
"Intel Core i3-8109U @ 3.00GHz",499.99,4263
"Mediatek MT6789V/CD",NA,4262
"Mediatek MT6833V/ZA",NA,4262
"天玑900",NA,4259
"Intel Core i5-6350HQ @ 2.30GHz",306,4255
"MediaTek G99 Ultimate (MT6789)",NA,4249
"Intel Pentium Gold G6405 @ 4.10GHz",75.34,4244
"Intel Core i3-1110G4 @ 1.80GHz",281,4236
"Intel Core i3-8140U @ 2.10GHz",NA,4227
"Intel Core i5-3340 @ 3.10GHz",129.95,4227
"vendor Kirin810",NA,4219
"Mediatek MT6781V/CDZAMB-H",NA,4215
"Qualcomm Technologies, Inc SM8150_Plus",NA,4212
"AMD FX-6300 Six-Core",23.78,4212
"Intel Core i3-7300T @ 3.50GHz",128.96,4211
"Intel Core i5-2450P @ 3.20GHz",129.99,4203
"Intel Atom x7433RE",NA,4194
"QTI SM6375",NA,4178
"Intel Xeon E5-1607 v2 @ 3.00GHz",229.95,4173
"MT6833V/PNZA",NA,4164
"Hisilicon Kirin985",NA,4162
"MT6833P",NA,4158
"QTI SM6350",NA,4152
"Intel Core i3-6100 @ 3.70GHz",85,4140
"Intel Pentium Gold G6500 @ 4.10GHz",70.98,4140
"AMD Ryzen Embedded R1606G",NA,4135
"AMD Opteron 3380",809,4134
"Intel Core i5-2550K @ 3.40GHz",69.9,4134
"Mediatek MT6853V/TNZA",NA,4128
"Qualcomm SM7150",NA,4126
"Intel Pentium Gold G5600F @ 3.90GHz",29.99,4124
"Intel Pentium Gold G6400 @ 4.00GHz",74.97,4123
"Intel Core i5-2500K @ 3.30GHz",29.99,4120
"MT8789V/CT",NA,4119
"Intel Celeron N5095A @ 2.00GHz",NA,4117
"Intel Core i5-2500 @ 3.30GHz",29.99,4115
"AMD Athlon 200GE",123.89,4114
"Intel Pentium J6426 @ 2.00GHz",80,4108
"Mediatek MT8370AV/A",NA,4107
"AMD Opteron 3365",NA,4105
"MT6833V/ZA",NA,4104
"MT8789V/T",NA,4104
"Intel Core i3-8145UE @ 2.20GHz",281,4099
"Intel Core i5-3330 @ 3.00GHz",111.01,4098
"MediaTek MT6873",NA,4087
"AMD FX-6200 Six-Core",279.95,4085
"Intel Celeron N5095 @ 2.00GHz",NA,4083
"Mediatek MT6833",NA,4082
"ARM - 8 Core 1766 MHz",NA,4080
"AMD Athlon PRO 300U",NA,4080
"Mediatek MT8781V/CA",NA,4074
"Intel Core i7-7660U @ 2.50GHz",NA,4074
"AMD Opteron 6234",429.96,4072
"Intel Core i5-4590T @ 2.00GHz",78.9,4070
"Intel Xeon E3-1260L @ 2.40GHz",269.99,4063
"AMD Ryzen 3 PRO 2100GE",NA,4062
"Intel Core i7-7567U @ 3.50GHz",733.99,4057
"Intel Celeron N5105 @ 2.00GHz",299,4054
"Mediatek MT6853V/NZA",NA,4049
"AMD FX-8100 Eight-Core",98.02,4046
"Intel Core i7-2710QE @ 2.10GHz",NA,4044
"Mediatek MT6833V/PNZA",NA,4019
"Intel Core i3-6098P @ 3.60GHz",59,4017
"AMD Opteron 6212",487,4007
"QTI QCM5430",NA,4006
"Intel Celeron G6900T",42,4003
"Intel Core i7-2720QM @ 2.20GHz",85,4003
"Intel Core i3-6300T @ 3.30GHz",130,4002
"Intel Core i5-7260U @ 2.20GHz",469.99,3989
"AMD Athlon Gold 3150U",NA,3988
"Qualcomm SC7180",NA,3978
"Intel Core i5-4470 @ 3.30GHz",NA,3971
"MT6781V/CD",NA,3969
"Hisilicon Kirin 990",NA,3965
"Intel Core i5-3570T @ 2.30GHz",NA,3962
"Intel Core i3-7101TE @ 3.40GHz",117,3957
"ARM Cortex-A78AE 8 Core 1984 MHz",NA,3954
"AMD Opteron 4334",129.95,3949
"QTI SM4375",NA,3948
"Mediatek MT8789V/CT",NA,3946
"Samsung Exynos 9820",NA,3943
"Intel Core i5-3340S @ 2.80GHz",75,3942
"AMD A9-9820",NA,3938
"Intel Atom C3958 @ 2.00GHz",449,3929
"Intel Core i7-985 @ 3.47GHz",NA,3928
"Qualcomm SM7250",NA,3927
"QTI SM4450",NA,3918
"AMD Opteron 4332 HE",554.92,3911
"ARM Kunpeng-920 8 Core 2600 MHz",NA,3910
"QTI SM7125",NA,3908
"Intel Pentium Gold G6400E @ 3.80GHz",79,3908
"Intel Xeon E3-1225 @ 3.10GHz",205.88,3905
"Intel Atom x6413E @ 1.50GHz",43,3903
"Intel Core i3-10110U @ 2.10GHz",434.17,3895
"Hisilicon Kirin820",NA,3893
"Intel Core i5-3330S @ 2.70GHz",199.95,3889
"AMD FX-6120 Six-Core",54.04,3887
"Rockchip RK3576",NA,3885
"MT6781",NA,3875
"Intel Pentium Gold G6500T @ 3.50GHz",75,3874
"AMD Phenom II X6 1100T",109.99,3871
"Intel Celeron J6412 @ 2.00GHz",54,3870
"AMD PRO A12-8870",NA,3869
"AMD Athlon 300U",NA,3867
"Intel Core i5-2400 @ 3.10GHz",48.59,3867
"Qualcomm Technologies, Inc",NA,3865
"AMD Ryzen Embedded R2312",NA,3865
"MT8186",NA,3862
"Intel Atom x6425E @ 2.00GHz",56,3858
"Snapdragon 7c Gen 2 @ 2.55 GHz",NA,3857
"Intel Core i3-4370 @ 3.80GHz",41.13,3856
"Intel Core i7-2675QM @ 2.20GHz",NA,3852
"Intel Xeon E3-1220 @ 3.10GHz",25.99,3847
"Intel Core i5-7360U @ 2.30GHz",NA,3846
"Intel Core i7-2840QM @ 2.40GHz",NA,3842
"Intel Xeon E3-1265L @ 2.40GHz",268.98,3841
"Intel Xeon E5-2603 v3 @ 1.60GHz",38.78,3834
"Intel Pentium Gold G5600 @ 3.90GHz",318,3825
"Intel Pentium Gold G5500 @ 3.80GHz",99,3823
"Mediatek MT6781",NA,3815
"AMD Ryzen 3 3250U",NA,3812
"AMD Athlon X4 970",NA,3811
