"CPUName","CPUPrice","CPUScore"
"AMD Ryzen 7 8840U",NA,23844
"AMD Ryzen 7 7435HS",NA,23816
"Intel Xeon Gold 6122 @ 1.80GHz",2002,23781
"AMD Ryzen 7 PRO 8840U",NA,23772
"Intel Xeon E-2456",375,23743
"Intel Core i7-13705H",502,23662
"Intel Core i9-7920X @ 2.90GHz",299,23651
"AMD Ryzen 5 8400F",140,23635
"Intel Xeon E-2388G @ 3.20GHz",539,23616
"AMD Ryzen 7 3800XT",351.99,23604
"AMD Ryzen 9 6900HS",NA,23582
"AMD Ryzen 9 5980HX",NA,23520
"Intel Xeon E5-2698 v4 @ 2.20GHz",908.7,23493
"AMD EPYC 7F32",229.95,23453
"AMD Ryzen 7 6800H",NA,23417
"Intel Xeon W-2175 @ 2.50GHz",432,23323
"Intel Xeon W-1370P @ 3.60GHz",508.99,23306
"Intel Xeon Gold 6146 @ 3.20GHz",837.99,23296
"Qualcomm Snapdragon X Elite - X1E-80-100",NA,23285
"AMD EPYC 7351",649,23226
"AMD Ryzen 7 PRO 6850H",NA,23225
"Intel Core i5-13500T",232,23220
"Intel Xeon Platinum 8176 @ 2.10GHz",2793.7,23179
"Intel Core i5-13400",185,23171
"AMD Ryzen 7 3800X",199.99,23141
"AMD Ryzen Threadripper 1920X",209.99,23078
"Intel Core i7-13700TE",390,23074
"Qualcomm Snapdragon X Elite - X1E-78-100",NA,23032
"AMD Ryzen 7 6800HS",NA,22982
"AMD Ryzen 5 7640HS",NA,22972
"Intel Core Ultra 5 135H",NA,22927
"Intel Xeon W-1370 @ 2.90GHz",468.99,22926
"Intel Core i9-11900KB @ 3.30GHz",539,22917
"AMD Ryzen 7 PRO 3700",329.99,22899
"AMD Ryzen 5 PRO 7640HS",NA,22778
"Intel Core i9-10900K @ 3.70GHz",470,22774
"Intel Core i9-11980HK @ 2.60GHz",583,22762
"AMD Ryzen 9 PRO 6950H",NA,22751
"Intel Core i9-11900 @ 2.50GHz",269.98,22725
"Intel Core i5-13500H",NA,22722
"AMD Ryzen 9 PRO 6950HS",NA,22697
"Intel Xeon Platinum P-8124 @ 3.00GHz",NA,22674
"AMD Ryzen 5 8645HS",NA,22620
